season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2002,12,HOU,REG,2002_12_NYG_HOU,NYG,10,23,103,0,0,5,-14,0,0,0,103,4,-5.695538753993805,,1,3,2,1,1,35,123,1,2,1,6,-8.992468974088142,0,4,3,1,0,10,23,103,0,0,0,0,0,4,-2.810049881170034,1,3,2,1,1,0,39,13,13,3,15,1,2.0,13.0,2,2,0,16,0,0,1,0,1,0,1,0,0,8,68,5,1,1,0,2,1,3,43,4,85,2,2,0,0,50,1.0,0,0,0,1,1,0,0,0,0,0,0,0,40;50,,,90,0,0,0,0,0,0,,0,0,0,0,0,9,0,49,348,3,0,3,0,2,4,25,0,323
2002,13,HOU,REG,2002_13_HOU_IND,IND,20,35,137,0,0,6,-37,1,0,0,137,7,-13.519218946519672,,0,6,2,0,0,20,65,0,1,1,2,-11.295466501556803,0,2,1,0,0,20,35,137,0,0,0,0,0,7,-6.895407888048794,0,6,2,0,0,0,38,12,12,3,8,0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,14,92,4,2,1,0,3,2,4,15,5,109,1,1,0,0,34,1.0,0,0,1,0,0,0,0,0,0,0,0,0,34,,,34,0,0,0,0,0,0,,0,0,0,0,0,11,0,52,435,3,0,1,1,3,6,-1,0,416
2002,14,HOU,REG,2002_14_HOU_PIT,PIT,3,10,33,0,0,4,-23,1,0,0,33,1,-9.74328752164729,,0,1,0,0,0,26,37,0,1,0,1,-11.659465121784507,0,1,0,0,0,3,10,33,0,0,0,0,0,1,-2.9937335099093616,0,1,0,0,0,0,53,16,28,8,28,0,6.0,32.0,7,2,135,7,2,1,0,0,2,-1,3,40,1,1,18,2,1,2,0,3,1,4,18,3,65,1,1,0,0,43,1.0,0,0,0,1,0,0,0,0,0,0,0,0,43,,,43,0,0,3,3,0,0,1.0,0,0,0,0,0,10,0,62,421,1,0,0,1,2,6,40,0,361
2002,15,HOU,REG,2002_15_BAL_HOU,BAL,19,34,196,0,2,2,-14,1,0,23,196,10,-3.452494310746175,,0,9,3,2,0,24,95,1,2,0,5,-1.3992173451988492,0,1,1,0,0,19,33,196,0,0,0,23,0,10,0.3122978604443176,0,9,3,2,0,1,38,9,13,5,19,0,0.0,0.0,0,0,0,5,0,1,1,0,4,-2,0,0,0,9,58,6,2,2,0,4,0,3,92,6,114,1,1,0,0,41,1.0,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,2,2,0,0,1.0,0,0,0,0,0,6,0,50,247,4,0,2,0,3,1,28,0,219
2002,16,HOU,REG,2002_16_HOU_WAS,WAS,12,31,112,0,1,3,-13,0,0,14,112,6,-15.009886081184959,,0,5,2,0,0,24,67,0,3,1,3,-10.080722883585594,0,1,0,0,0,12,26,112,0,0,0,14,0,6,-6.842675143008819,0,5,2,0,0,1,48,10,26,2,5,0,0.0,0.0,0,0,0,6,0,0,0,0,2,-11,0,0,0,10,83,6,2,2,0,4,2,4,37,4,81,1,1,0,0,46,1.0,0,0,0,1,0,0,0,0,0,0,0,0,46,,,46,0,0,1,1,0,0,1.0,0,0,0,0,0,6,0,53,281,1,1,1,1,0,3,3,0,258
2002,17,HOU,REG,2002_17_TEN_HOU,TEN,21,41,214,0,1,3,-18,0,0,49,214,12,-2.6373537934579776,,0,8,5,2,0,22,28,0,1,0,2,-10.20488969216897,0,0,0,0,0,21,38,214,0,0,0,49,0,12,3.204330055463297,0,8,5,2,0,0,39,7,9,4,14,0,2.0,11.0,2,0,0,8,0,0,0,0,1,0,0,0,0,7,53,4,0,1,0,1,0,4,32,3,60,1,3,1,1,42,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,1,0,42,50,19,42,50,19,0,0,0,0,,0,0,0,0,0,5,1,51,233,2,0,0,1,2,2,17,0,196
2003,1,HOU,REG,2003_01_HOU_MIA,MIA,17,32,266,1,0,0,0,0,0,0,266,9,10.13721557567273,,0,7,5,4,1,34,127,0,0,0,6,-5.819891422776482,0,6,5,0,0,17,0,266,1,0,0,0,0,9,22.324205109598225,0,7,5,4,1,0,34,0,20,0,0,1,2.0,12.0,0,2,3,6,0,0,0,0,0,0,1,0,0,8,67,7,0,0,0,0,0,4,12,3,54,5,7,2,0,50,0.7142857142857143,0,2,2,0,1,0,0,0,0,1,1,0,36;50;23;24;35,43;54,,168,97,0,0,0,0,0,,1,1,0,0,35,5,0,49,214,1,0,1,0,2,2,4,0,210
2003,2,HOU,REG,2003_02_HOU_NO,NO,17,36,213,0,2,5,-30,0,0,0,213,10,-17.73812496487517,,0,11,5,2,0,24,75,1,0,0,3,0.651443581996062,0,1,0,0,0,17,0,213,0,0,0,0,0,10,13.422638325486332,0,11,5,2,0,0,39,11,11,0,0,0,2.0,7.0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,86,4,0,0,0,0,0,5,32,5,149,1,1,0,0,30,1.0,0,0,1,0,0,0,0,0,0,0,0,0,30,,,30,0,0,1,1,0,0,1.0,0,0,0,0,0,8,0,51,314,1,0,2,0,2,4,15,0,299
2003,3,HOU,REG,2003_03_KC_HOU,KC,24,38,218,2,2,1,-9,0,0,0,218,12,-2.6841027265472803,,0,8,2,1,1,26,107,0,1,1,6,-5.525482334982371,0,5,3,0,0,24,0,218,2,1,1,0,0,12,14.952965114352992,0,8,2,1,1,0,41,9,11,0,0,0,1.0,4.0,0,2,-6,8,0,0,0,0,0,0,0,0,0,10,74,3,2,0,0,2,2,3,9,7,164,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1.0,0,0,0,0,0,6,0,47,259,4,0,0,0,5,1,73,1,186
2003,4,HOU,REG,2003_04_JAX_HOU,JAX,23,37,234,1,2,1,-5,1,0,0,234,12,1.4023321630547092,,0,7,5,2,0,37,110,2,2,1,7,-7.333586828808038,0,1,0,0,0,23,0,234,1,1,1,0,0,12,18.001074425468687,0,7,5,2,0,0,31,10,18,0,0,3,0.0,0.0,0,3,-46,12,0,0,0,0,2,0,2,0,0,4,43,6,2,2,0,4,2,2,49,5,141,1,2,1,0,48,0.5,0,0,0,1,0,0,0,0,0,0,1,0,48,50,,48,50,0,3,3,0,0,1.0,0,0,0,0,0,4,0,47,139,2,0,2,0,1,1,1,0,138
